fileName,mimeTypeFile,matchFile
/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000001.dd: new-fs dump file (big endian), Previous dump Wed Dec 20 13:07:49 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000002.dd: new-fs dump file (big endian), Previous dump Wed Dec 20 13:08:19 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/sd0g, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/1/file000003.dd: new-fs dump file (big endian), Previous dump Wed Dec 20 13:14:01 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /home, Device /dev/sd0h, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000001.dd: new-fs dump file (little endian), Previous dump Mon Oct 30 13:59:38 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/wd0a, Host metal.xxlink.nl, Flags 3,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000002.dd: new-fs dump file (little endian), Previous dump Mon Oct 30 14:00:33 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/wd0s1f, Host metal.xxlink.nl, Flags 3,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000003.dd: new-fs dump file (little endian), Previous dump Mon Oct 30 14:07:48 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /var, Device /dev/wd0s1e, Host metal.xxlink.nl, Flags 3,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000004.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/10/file000004.dd: new-fs dump file (little endian), Previous dump Mon Oct 30 14:09:08 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /data, Device /dev/wd1a, Host metal.xxlink.nl, Flags 3,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/11/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/11/file000001.dd: POSIX tar archive,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/12/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/12/file000001.dd: new-fs dump file (big endian), Previous dump Thu Oct 5 16:16:23 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host xxx.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/12/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/12/file000002.dd: new-fs dump file (big endian), Previous dump Thu Oct 5 16:16:56 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/sd0g, Host xxx.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/12/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/12/file000003.dd: new-fs dump file (big endian), Previous dump Thu Oct 5 16:22:12 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /home, Device /dev/sd0h, Host xxx.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/13/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/13/file000001.dd: new-fs dump file (big endian), Previous dump Thu Oct 5 01:06:02 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/13/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/13/file000002.dd: new-fs dump file (big endian), Previous dump Thu Oct 5 01:06:33 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/sd0g, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/13/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/13/file000003.dd: new-fs dump file (big endian), Previous dump Thu Oct 5 01:11:35 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /home, Device /dev/sd0h, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/14/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/14/file000001.dd: tar archive,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/15/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/15/file000001.dd: new-fs dump file (big endian), Previous dump Sat Apr 29 08:37:48 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/15/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/15/file000002.dd: new-fs dump file (big endian), Previous dump Sat Apr 29 08:38:52 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/sd0g, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/15/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/15/file000003.dd: new-fs dump file (big endian), Previous dump Sat Apr 29 08:43:57 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /home, Device /dev/sd0h, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/16/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/16/file000001.dd: new-fs dump file (big endian), Previous dump Sun Dec 15 10:18:59 1996, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host www.xxLINK.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/16/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/16/file000002.dd: new-fs dump file (big endian), Previous dump Sun Dec 15 10:19:28 1996, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/sd0g, Host www.xxLINK.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/16/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/16/file000003.dd: new-fs dump file (big endian), Previous dump Sun Dec 15 10:24:36 1996, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /home, Device /dev/sd0h, Host www.xxLINK.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/19/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/19/file000001.dd: POSIX tar archive,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/2/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/2/file000001.dd: tar archive,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/3/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/3/file000001.dd: new-fs dump file (big endian), Previous dump Wed Dec 6 14:58:39 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/3/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/3/file000002.dd: new-fs dump file (big endian), Previous dump Wed Dec 6 14:58:59 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/sd0g, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/3/file000003.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/3/file000003.dd: new-fs dump file (big endian), Previous dump Wed Dec 6 15:04:26 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /home, Device /dev/sd0h, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/4/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/4/file000001.dd: tar archive,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/5/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/5/file000001.dd: tar archive,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/6/file000001.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/6/file000001.dd: new-fs dump file (big endian), Previous dump Tue Nov 14 09:41:48 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /, Device /dev/sd0a, Host www.xxlink.nl, Flags 1,1
/media/bcadmin/Elements/xxLINK/tapes-DDS/6/file000002.dd,/media/bcadmin/Elements/xxLINK/tapes-DDS/6/file000002.dd: new-fs dump file (big endian), Previous dump Tue Nov 14 09:42:16 1995, This dump Thu Jan 1 00:00:00 1970, Volume 1, Level zero, type: tape header, Label none, Filesystem /usr, Device /dev/sd0g, Host www.xxlink.nl, Flags 1,1
